,time,rri,RRI
,16:00:27,0,NaN
,16:00:28,0,NaN
,16:00:29,1.45,1.45
,16:00:30,0,NaN
,16:00:31,0,NaN
,16:00:32,0,NaN
,16:00:33,0,NaN
,16:00:34,1.483333333,1.483333333
,16:00:35,0,NaN
,16:00:36,0,NaN
,16:00:37,0,NaN
,16:00:38,0,NaN
,16:00:39,0,NaN
,16:00:40,0,NaN
,16:00:41,0,NaN
89,16:00:42,0,NaN
,16:00:43,0,NaN
,16:00:44,1.433333333,1.433333333
,16:00:45,0,NaN
,16:00:46,0,NaN
,16:00:47,0,NaN
87,16:00:48,0,NaN
,16:00:49,1.416666667,1.416666667
,16:00:50,0,NaN
,16:00:51,0,NaN
,16:00:52,0,NaN
,16:00:53,0,NaN
87,16:00:54,1.4,1.4
,16:00:55,0,NaN
,16:00:56,0,NaN
,16:00:57,0,NaN
,16:00:58,0,NaN
,16:00:59,0,NaN
,16:01:00,0,NaN
,16:01:01,0,NaN
,16:01:02,0,NaN
,16:01:03,0,NaN
,16:01:04,0,NaN
,16:01:05,0,NaN
,16:01:06,0,NaN
,16:01:07,0,NaN
,16:01:08,0,NaN
,16:01:09,1.4,1.4
86,16:01:10,0,NaN
,16:01:11,0,NaN
,16:01:12,0,NaN
,16:01:13,0,NaN
,16:01:14,0,NaN
,16:01:15,0,NaN
,16:01:16,0,NaN
,16:01:17,0,NaN
,16:01:18,0,NaN
,16:01:19,0,NaN
,16:01:20,0,NaN
,16:01:21,0,NaN
,16:01:22,0,NaN
,16:01:23,0,NaN
,16:01:24,1.4,1.4
,16:01:25,0,NaN
87,16:01:26,0,NaN
,16:01:27,0,NaN
,16:01:28,0,NaN
,16:01:29,0,NaN
,16:01:30,0,NaN
,16:01:31,0,NaN
88,16:01:32,0,NaN
,16:01:33,0,NaN
,16:01:34,1.416666667,1.416666667
,16:01:35,0,NaN
,16:01:36,0,NaN
,16:01:37,0,NaN
87,16:01:38,0,NaN
,16:01:39,0,NaN
,16:01:40,0,NaN
,16:01:41,0,NaN
,16:01:42,0,NaN
,16:01:43,0,NaN
89,16:01:44,0,NaN
,16:01:45,0,NaN
,16:01:46,0,NaN
,16:01:47,0,NaN
,16:01:48,0,NaN
,16:01:49,1.416666667,1.416666667
,16:01:50,0,NaN
,16:01:51,0,NaN
,16:01:52,0,NaN
,16:01:53,0,NaN
,16:01:54,1.4,1.4
86,16:01:55,0,NaN
,16:01:56,0,NaN
,16:01:57,0,NaN
,16:01:58,0,NaN
