,,RRI,RRI
,15:39:10,0,NaN
,15:39:11,0,NaN
98,15:39:12,1.633333333,1.633333333
,15:39:13,0,NaN
,15:39:14,0,NaN
,15:39:15,0,NaN
,15:39:16,0,NaN
99,15:39:17,1.65,1.65
,15:39:18,0,NaN
,15:39:19,0,NaN
,15:39:20,0,NaN
,15:39:21,0,NaN
,15:39:22,0,NaN
,15:39:23,0,NaN
,15:39:24,0,NaN
,15:39:25,0,NaN
,15:39:26,0,NaN
,15:39:27,0,NaN
,15:39:28,0,NaN
,15:39:29,0,NaN
,15:39:30,0,NaN
,15:39:31,0,NaN
99,15:39:32,1.65,1.65
,15:39:33,0,NaN
,15:39:34,0,NaN
,15:39:35,0,NaN
,15:39:36,0,NaN
101,15:39:37,1.683333333,1.683333333
,15:39:38,0,NaN
,15:39:39,0,NaN
,15:39:40,0,NaN
,15:39:41,0,NaN
,15:39:42,0,NaN
101,15:39:43,1.683333333,1.683333333
,15:39:44,0,NaN
,15:39:45,0,NaN
,15:39:46,0,NaN
,15:39:47,0,NaN
,15:39:48,0,NaN
,15:39:49,0,NaN
,15:39:50,0,NaN
,15:39:51,0,NaN
,15:39:52,0,NaN
,15:39:53,0,NaN
,15:39:54,0,NaN
,15:39:55,0,NaN
,15:39:56,0,NaN
,15:39:57,0,NaN
100,15:39:58,1.666666667,1.666666667
,15:39:59,0,NaN
,15:40:00,0,NaN
,15:40:01,0,NaN
,15:40:02,0,NaN
103,15:40:03,1.716666667,1.716666667
,15:40:04,0,NaN
,15:40:05,0,NaN
,15:40:06,0,NaN
,15:40:07,0,NaN
102,15:40:08,1.7,1.7
,15:40:09,0,NaN
,15:40:10,0,NaN
,15:40:11,0,NaN
,15:40:12,0,NaN
,15:40:13,0,NaN
,15:40:14,0,NaN
,15:40:15,0,NaN
,15:40:16,0,NaN
,15:40:17,0,NaN
,15:40:18,0,NaN
,15:40:19,0,NaN
,15:40:20,0,NaN
,15:40:21,0,NaN
,15:40:22,0,NaN
101,15:40:23,1.683333333,1.683333333
,15:40:24,0,NaN
,15:40:25,0,NaN
,15:40:26,0,NaN
,15:40:27,0,NaN
100,15:40:28,1.666666667,1.666666667
,15:40:29,0,NaN
,15:40:30,0,NaN
,15:40:31,0,NaN
,15:40:32,0,NaN
101,15:40:33,1.683333333,1.683333333
,15:40:34,0,NaN
,15:40:35,0,NaN
,15:40:36,0,NaN
,15:40:37,0,NaN
96,15:40:38,1.6,1.6
,15:40:39,0,NaN
,15:40:40,0,NaN
,15:40:41,0,NaN
,15:40:42,0,NaN
89,15:40:43,1.483333333,1.483333333
,15:40:44,0,NaN
,15:40:45,0,NaN
,15:40:46,0,NaN
,15:40:47,0,NaN
86,15:40:48,1.433333333,1.433333333
,15:40:49,0,NaN
,15:40:50,0,NaN
,15:40:51,0,NaN
,15:40:52,0,NaN
79,15:40:53,1.316666667,1.316666667
,15:40:54,0,NaN
,15:40:55,0,NaN
,15:40:56,0,NaN
,15:40:57,0,NaN
79,15:40:58,1.316666667,1.316666667
,15:40:59,0,NaN
,15:41:00,0,NaN
,15:41:01,0,NaN
,15:41:02,0,NaN
82,15:41:03,1.366666667,1.366666667
,15:41:04,0,NaN
,15:41:05,0,NaN
,15:41:06,0,NaN
,15:41:07,0,NaN
84,15:41:08,1.4,1.4
,15:41:09,0,NaN
,15:41:10,0,NaN
,15:41:11,0,NaN
,15:41:12,0,NaN
87,15:41:13,1.45,1.45
,15:41:14,0,NaN
,15:41:15,0,NaN
,15:41:16,0,NaN
,15:41:17,0,NaN
88,15:41:18,1.466666667,1.466666667
,15:41:19,0,NaN
,15:41:20,0,NaN
,15:41:21,0,NaN
,15:41:22,0,NaN
,15:41:23,0,NaN
,15:41:24,0,NaN
,15:41:25,0,NaN
,15:41:26,0,NaN
,15:41:27,0,NaN
,15:41:28,0,NaN
,15:41:29,0,NaN
,15:41:30,0,NaN
,15:41:31,0,NaN
,15:41:32,0,NaN
88,15:41:33,1.466666667,1.466666667
,15:41:34,0,NaN
,15:41:35,0,NaN
,15:41:36,0,NaN
,15:41:37,0,NaN
89,15:41:38,1.483333333,1.483333333
,15:41:39,0,NaN
,15:41:40,0,NaN
,15:41:41,0,NaN
,15:41:42,0,NaN
97,15:41:43,1.616666667,1.616666667
,15:41:44,0,NaN
,15:41:45,0,NaN
,15:41:46,0,NaN
,15:41:47,0,NaN
106,15:41:48,1.766666667,1.766666667
,15:41:49,0,NaN
,15:41:50,0,NaN
,15:41:51,0,NaN
,15:41:52,0,NaN
105,15:41:53,1.75,1.75
,15:41:54,0,NaN
,15:41:55,0,NaN
,15:41:56,0,NaN
,15:41:57,0,NaN
105,15:41:58,1.75,1.75
,15:41:59,0,NaN
,15:42:00,0,NaN
,15:42:01,0,NaN
,15:42:02,0,NaN
,15:42:03,0,NaN
,15:42:04,0,NaN
,15:42:05,0,NaN
,15:42:06,0,NaN
,15:42:07,0,NaN
107,15:42:08,1.783333333,1.783333333
,15:42:09,0,NaN
,15:42:10,0,NaN
,15:42:11,0,NaN
,15:42:12,0,NaN
109,15:42:13,1.816666667,1.816666667
,15:42:14,0,NaN
,15:42:15,0,NaN
,15:42:16,0,NaN
,15:42:17,0,NaN
111,15:42:18,1.85,1.85
,15:42:19,0,NaN
,15:42:20,0,NaN
,15:42:21,0,NaN
,15:42:22,0,NaN
111,15:42:23,1.85,1.85
,15:42:24,0,NaN
,15:42:25,0,NaN
,15:42:26,0,NaN
,15:42:27,0,NaN
105,15:42:28,1.75,1.75
,15:42:29,0,NaN
,15:42:30,0,NaN
,15:42:31,0,NaN
,15:42:32,0,NaN
102,15:42:33,1.7,1.7
,15:42:34,0,NaN
,15:42:35,0,NaN
,15:42:36,0,NaN
,15:42:37,0,NaN
103,15:42:38,1.716666667,1.716666667
,15:42:39,0,NaN
,15:42:40,0,NaN
,15:42:41,0,NaN
,15:42:42,0,NaN
101,15:42:43,1.683333333,1.683333333
,15:42:44,0,NaN
,15:42:45,0,NaN
,15:42:46,0,NaN
,15:42:47,0,NaN
99,15:42:48,1.65,1.65
,15:42:49,0,NaN
,15:42:50,0,NaN
,15:42:51,0,NaN
,15:42:52,0,NaN
101,15:42:53,1.683333333,1.683333333
,15:42:54,0,NaN
,15:42:55,0,NaN
,15:42:56,0,NaN
,15:42:57,0,NaN
105,15:42:58,1.75,1.75
,15:42:59,0,NaN
,15:43:00,0,NaN
,15:43:01,0,NaN
,15:43:02,0,NaN
106,15:43:03,1.766666667,1.766666667
,15:43:04,0,NaN
,15:43:05,0,NaN
,15:43:06,0,NaN
,15:43:07,0,NaN
107,15:43:08,1.783333333,1.783333333
,15:43:09,0,NaN
,15:43:10,0,NaN
,15:43:11,0,NaN
,15:43:12,0,NaN
105,15:43:13,1.75,1.75
,15:43:14,0,NaN
,15:43:15,0,NaN
,15:43:16,0,NaN
,15:43:17,0,NaN
103,15:43:18,1.716666667,1.716666667
,15:43:19,0,NaN
,15:43:20,0,NaN
,15:43:21,0,NaN
,15:43:22,0,NaN
,15:43:23,0,NaN
,15:43:24,0,NaN
,15:43:25,0,NaN
,15:43:26,0,NaN
,15:43:27,0,NaN
,15:43:28,0,NaN
,15:43:29,0,NaN
,15:43:30,0,NaN
,15:43:31,0,NaN
,15:43:32,0,NaN
105,15:43:33,1.75,1.75
,15:43:34,0,NaN
,15:43:35,0,NaN
,15:43:36,0,NaN
,15:43:37,0,NaN
106,15:43:38,1.766666667,1.766666667
,15:43:39,0,NaN
,15:43:40,0,NaN
,15:43:41,0,NaN
,15:43:42,0,NaN
107,15:43:43,1.783333333,1.783333333
,15:43:44,0,NaN
,15:43:45,0,NaN
,15:43:46,0,NaN
,15:43:47,0,NaN
107,15:43:48,1.783333333,1.783333333
,15:43:49,0,NaN
,15:43:50,0,NaN
,15:43:51,0,NaN
,15:43:52,0,NaN
110,15:43:53,1.833333333,1.833333333
,15:43:54,0,NaN
,15:43:55,0,NaN
,15:43:56,0,NaN
,15:43:57,0,NaN
111,15:43:58,1.85,1.85
,15:43:59,0,NaN
,15:44:00,0,NaN
,15:44:01,0,NaN
,15:44:02,0,NaN
,15:44:03,0,NaN
,15:44:04,0,NaN
,15:44:05,0,NaN
,15:44:06,0,NaN
,15:44:07,0,NaN
113,15:44:08,1.883333333,1.883333333
,15:44:09,0,NaN
,15:44:10,0,NaN
,15:44:11,0,NaN
,15:44:12,0,NaN
,15:44:13,0,NaN
,15:44:14,0,NaN
,15:44:15,0,NaN
,15:44:16,0,NaN
,15:44:17,0,NaN
114,15:44:18,1.9,1.9
,15:44:19,0,NaN
,15:44:20,0,NaN
,15:44:21,0,NaN
,15:44:22,0,NaN
116,15:44:23,1.933333333,1.933333333
,15:44:24,0,NaN
,15:44:25,0,NaN
,15:44:26,0,NaN
,15:44:27,0,NaN
120,15:44:28,2,2
,15:44:29,0,NaN
,15:44:30,0,NaN
,15:44:31,0,NaN
,15:44:32,0,NaN
123,15:44:33,2.05,2.05
,15:44:34,0,NaN
,15:44:35,0,NaN
,15:44:36,0,NaN
,15:44:37,0,NaN
120,15:44:38,2,2
,15:44:39,0,NaN
,15:44:40,0,NaN
,15:44:41,0,NaN
,15:44:42,0,NaN
115,15:44:43,1.916666667,1.916666667
,15:44:44,0,NaN
,15:44:45,0,NaN
,15:44:46,0,NaN
,15:44:47,0,NaN
114,15:44:48,1.9,1.9
,15:44:49,0,NaN
,15:44:50,0,NaN
,15:44:51,0,NaN
,15:44:52,0,NaN
,15:44:53,0,NaN
,15:44:54,0,NaN
,15:44:55,0,NaN
,15:44:56,0,NaN
,15:44:57,0,NaN
112,15:44:58,1.866666667,1.866666667
,15:44:59,0,NaN
,15:45:00,0,NaN
,15:45:01,0,NaN
,15:45:02,0,NaN
111,15:45:03,1.85,1.85
,15:45:04,0,NaN
,15:45:05,0,NaN
,15:45:06,0,NaN
,15:45:07,0,NaN
,15:45:08,0,NaN
,15:45:09,0,NaN
,15:45:10,0,NaN
,15:45:11,0,NaN
,15:45:12,0,NaN
,15:45:13,0,NaN
,15:45:14,0,NaN
,15:45:15,0,NaN
,15:45:16,0,NaN
,15:45:17,0,NaN
109,15:45:18,1.816666667,1.816666667
,15:45:19,0,NaN
,15:45:20,0,NaN
,15:45:21,0,NaN
,15:45:22,0,NaN
107,15:45:23,1.783333333,1.783333333
,15:45:24,0,NaN
,15:45:25,0,NaN
,15:45:26,0,NaN
,15:45:27,0,NaN
104,15:45:28,1.733333333,1.733333333
,15:45:29,0,NaN
,15:45:30,0,NaN
,15:45:31,0,NaN
,15:45:32,0,NaN
105,15:45:33,1.75,1.75
,15:45:34,0,NaN
,15:45:35,0,NaN
,15:45:36,0,NaN
,15:45:37,0,NaN
,15:45:38,0,NaN
,15:45:39,0,NaN
,15:45:40,0,NaN
,15:45:41,0,NaN
,15:45:42,0,NaN
,15:45:43,0,NaN
,15:45:44,0,NaN
,15:45:45,0,NaN
,15:45:46,0,NaN
,15:45:47,0,NaN
106,15:45:48,1.766666667,1.766666667
,15:45:49,0,NaN
,15:45:50,0,NaN
,15:45:51,0,NaN
,15:45:52,0,NaN
102,15:45:53,1.7,1.7
,15:45:54,0,NaN
,15:45:55,0,NaN
,15:45:56,0,NaN
,15:45:57,0,NaN
96,15:45:58,1.6,1.6
,15:45:59,0,NaN
,15:46:00,0,NaN
,15:46:01,0,NaN
,15:46:02,0,NaN
90,15:46:03,1.5,1.5
,15:46:04,0,NaN
,15:46:05,0,NaN
,15:46:06,0,NaN
,15:46:07,0,NaN
91,15:46:08,1.516666667,1.516666667
,15:46:09,0,NaN
,15:46:10,0,NaN
,15:46:11,0,NaN
,15:46:12,0,NaN
,15:46:13,0,NaN
,15:46:14,0,NaN
,15:46:15,0,NaN
,15:46:16,0,NaN
,15:46:17,0,NaN
91,15:46:18,1.516666667,1.516666667
,15:46:19,0,NaN
,15:46:20,0,NaN
,15:46:21,0,NaN
,15:46:22,0,NaN
,15:46:23,0,NaN
,15:46:24,0,NaN
,15:46:25,0,NaN
,15:46:26,0,NaN
,15:46:27,0,NaN
86,15:46:28,1.433333333,1.433333333
,15:46:29,0,NaN
,15:46:30,0,NaN
,15:46:31,0,NaN
,15:46:32,0,NaN
84,15:46:33,1.4,1.4
,15:46:34,0,NaN
,15:46:35,0,NaN
,15:46:36,0,NaN
,15:46:37,0,NaN
,15:46:38,0,NaN
,15:46:39,0,NaN
,15:46:40,0,NaN
,15:46:41,0,NaN
,15:46:42,0,NaN
87,15:46:43,1.45,1.45
,15:46:44,0,NaN
,15:46:45,0,NaN
,15:46:46,0,NaN
,15:46:47,0,NaN
89,15:46:48,1.483333333,1.483333333
,15:46:49,0,NaN
,15:46:50,0,NaN
,15:46:51,0,NaN
,15:46:52,0,NaN
